CountyCode	CountyName
ALA	Alachua
BAK	Baker
BAY	Bay
BRA	Bradford
BRE	Brevard
BRO	Broward
CAL	Calhoun
CHA	Charlotte
CIT	Citrus
CLA	Clay
CLL	Collier
CLM	Columbia
DAD	Miami-Dade
DES	DeSoto
DIX	Dixie
DUV	Duval
ESC	Escambia
FLA	Flagler
FRA	Franklin
GAD	Gadsden
GIL	Gilchrist
GLA	Glades
GUL	Gulf
HAM	Hamilton
HAR	Hardee
HEN	Hendry
HER	Hernando
HIG	Highlands
HIL	Hillsborough
HOL	Holmes
IND	Indian River
JAC	Jackson
JEF	Jefferson
LAF	Lafayette
LAK	Lake
LEE	Lee
LEO	Leon
LEV	Levy
LIB	Liberty
MAD	Madison
MAN	Manatee
MON	Monroe
MRN	Marion
MRT	Martin
NAS	Nassau
OKA	Okaloosa
OKE	Okeechobee
ORA	Orange
OSC	Osceola
PAL	Palm Beach
PAS	Pasco
PIN	Pinellas
POL	Polk
PUT	Putnam
SAN	Santa Rosa
SAR	Sarasota
SEM	Seminole
STJ	St. Johns
STL	St. Lucie
SUM	Sumter
SUW	Suwannee
TAY	Taylor
UNI	Union
VOL	Volusia
WAK	Wakulla
WAL	Walton
WAS	Washington
